Probability of Winning
,David's Dazzling Bracket,Don's Dribbling Problem,Dunk's SpaceX Bracket,Ellie's Exciting Bracket,One Ball Two Holes,Gregory's Groovy Bracket,JB's Majestic Bracket,My Swag Bracket,Terry's Great Trump Bracket,Jake's Trueskill + MCTS,Amit's Awesome Bracket,My Optimal Bracket,Raj arshi's Swag Bracket,Matt's Bracket,
e8.truth  ,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   13.4300,    0.0000,    0.0000,   18.2400,    0.0000,   68.3300,    0.0000,    0.0000,
Round 4 Game 1A: Kansas defeats Villanova,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,  100.0000,    0.0000,    0.0000,
Round 4 Game 1B: Villanova defeats Kansas,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   35.4300,    0.0000,    0.0000,   47.8400,    0.0000,   16.7300,    0.0000,    0.0000,
Round 4 Game 2A: Oregon defeats Oklahoma,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   31.5200,    0.0000,    0.0000,    0.0000,    0.0000,   68.4800,    0.0000,    0.0000,
Round 4 Game 2B: Oklahoma defeats Oregon,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   31.8200,    0.0000,   68.1800,    0.0000,    0.0000,
Round 4 Game 3A: North Carolina defeats Notre Dame,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   15.3700,    0.0000,    0.0000,   21.7800,    0.0000,   62.8500,    0.0000,    0.0000,
Round 4 Game 3B: Notre Dame defeats North Carolina,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,  100.0000,    0.0000,    0.0000,
Round 4 Game 4A: Virginia defeats Syracuse,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   13.2800,    0.0000,    0.0000,   18.1700,    0.0000,   68.5500,    0.0000,    0.0000,
Round 4 Game 4B: Syracuse defeats Virginia,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   13.0500,    0.0000,    0.0000,   18.4200,    0.0000,   68.5300,    0.0000,    0.0000,

Best Finish
,David's Dazzling Bracket,Don's Dribbling Problem,Dunk's SpaceX Bracket,Ellie's Exciting Bracket,One Ball Two Holes,Gregory's Groovy Bracket,JB's Majestic Bracket,My Swag Bracket,Terry's Great Trump Bracket,Jake's Trueskill + MCTS,Amit's Awesome Bracket,My Optimal Bracket,Raj arshi's Swag Bracket,Matt's Bracket,
e8.truth  ,     3,     1,     2,     7,     2,     1,     2,     2,     2,     4,     1,    13,     4,     2,
Round 4 Game 1A: Kansas defeats Villanova,     3,     1,     5,     7,     2,     1,     2,     2,     2,     4,     1,    14,     4,     2,
Round 4 Game 1B: Villanova defeats Kansas,     4,     1,     2,     9,     6,     1,     2,     2,     2,    11,     1,    13,     4,     5,
Round 4 Game 2A: Oregon defeats Oklahoma,     3,     1,     2,     9,     2,     1,    13,     2,     3,     4,     1,    13,    10,     2,
Round 4 Game 2B: Oklahoma defeats Oregon,     4,     1,     6,     7,     2,     1,     2,     4,     2,     6,     1,    13,     4,     3,
Round 4 Game 3A: North Carolina defeats Notre Dame,     3,     1,     2,     7,     3,     1,     2,     2,     2,     5,     1,    13,     4,     2,
Round 4 Game 3B: Notre Dame defeats North Carolina,     3,     1,     2,     7,     2,     1,     2,     6,     5,     4,     1,    14,     4,     3,
Round 4 Game 4A: Virginia defeats Syracuse,     3,     1,     3,     7,     2,     1,     2,     2,     2,     5,     1,    13,     4,     2,
Round 4 Game 4B: Syracuse defeats Virginia,     3,     1,     2,     7,     2,     1,     2,     2,     2,     4,     1,    13,     4,     2,

Worst Finish
,David's Dazzling Bracket,Don's Dribbling Problem,Dunk's SpaceX Bracket,Ellie's Exciting Bracket,One Ball Two Holes,Gregory's Groovy Bracket,JB's Majestic Bracket,My Swag Bracket,Terry's Great Trump Bracket,Jake's Trueskill + MCTS,Amit's Awesome Bracket,My Optimal Bracket,Raj arshi's Swag Bracket,Matt's Bracket,
e8.truth  ,     9,     9,    13,    12,    11,     4,    14,    11,     9,    14,     5,    14,    12,    12,
Round 4 Game 1A: Kansas defeats Villanova,     9,     9,    13,    12,    10,     4,    13,    10,     9,    13,     5,    14,    12,    11,
Round 4 Game 1B: Villanova defeats Kansas,     8,     5,    10,    12,    11,     4,    14,    11,     9,    14,     4,    14,    10,    12,
Round 4 Game 2A: Oregon defeats Oklahoma,     9,     9,    11,    12,     9,     4,    14,     8,     9,    12,     5,    14,    12,     8,
Round 4 Game 2B: Oklahoma defeats Oregon,     9,     6,    13,    12,    11,     4,    12,    11,     8,    14,     4,    14,    11,    12,
Round 4 Game 3A: North Carolina defeats Notre Dame,     9,     9,    13,    12,    11,     4,    14,    11,     9,    14,     4,    14,    12,    12,
Round 4 Game 3B: Notre Dame defeats North Carolina,     7,     7,    13,    12,     8,     4,    13,    11,     9,    13,     5,    14,    12,    12,
Round 4 Game 4A: Virginia defeats Syracuse,     9,     9,    13,    12,    11,     4,    14,    11,     9,    14,     4,    14,    12,    12,
Round 4 Game 4B: Syracuse defeats Virginia,     9,     9,    13,    12,    11,     4,    14,    11,     9,    14,     5,    14,    12,    12,

Min Score
,David's Dazzling Bracket,Don's Dribbling Problem,Dunk's SpaceX Bracket,Ellie's Exciting Bracket,One Ball Two Holes,Gregory's Groovy Bracket,JB's Majestic Bracket,My Swag Bracket,Terry's Great Trump Bracket,Jake's Trueskill + MCTS,Amit's Awesome Bracket,My Optimal Bracket,Raj arshi's Swag Bracket,Matt's Bracket,
e8.truth  ,    90,   106,    70,    68,    87,   104,    66,    75,    78,    66,   102,    63,    77,    73,
Round 4 Game 1A: Kansas defeats Villanova,    98,   114,    70,    76,    95,   112,    74,    83,    86,    74,   110,    63,    77,    81,
Round 4 Game 1B: Villanova defeats Kansas,    90,   106,    80,    68,    87,   104,    66,    75,    78,    66,   102,    63,    77,    73,
Round 4 Game 2A: Oregon defeats Oklahoma,    90,   106,    78,    68,    87,   104,    66,    83,    78,    74,   102,    63,    77,    81,
Round 4 Game 2B: Oklahoma defeats Oregon,    90,   116,    70,    78,    87,   114,    76,    75,    88,    66,   112,    63,    87,    73,
Round 4 Game 3A: North Carolina defeats Notre Dame,    98,   114,    78,    76,    87,   112,    66,    83,    86,    66,   110,    71,    77,    81,
Round 4 Game 3B: Notre Dame defeats North Carolina,    90,   106,    70,    68,    87,   104,    66,    75,    78,    66,   102,    63,    77,    73,
Round 4 Game 4A: Virginia defeats Syracuse,    90,   106,    70,    68,    87,   104,    66,    75,    78,    66,   110,    63,    77,    73,
Round 4 Game 4B: Syracuse defeats Virginia,    90,   106,    70,    68,    87,   104,    66,    75,    78,    66,   102,    63,    77,    73,

Max Score
,David's Dazzling Bracket,Don's Dribbling Problem,Dunk's SpaceX Bracket,Ellie's Exciting Bracket,One Ball Two Holes,Gregory's Groovy Bracket,JB's Majestic Bracket,My Swag Bracket,Terry's Great Trump Bracket,Jake's Trueskill + MCTS,Amit's Awesome Bracket,My Optimal Bracket,Raj arshi's Swag Bracket,Matt's Bracket,
e8.truth  ,   122,   151,   112,   110,   143,   194,   138,   163,   168,   130,   200,    71,   106,   161,
Round 4 Game 1A: Kansas defeats Villanova,   122,   151,   102,   110,   143,   194,   138,   163,   168,   130,   200,    71,   106,   161,
Round 4 Game 1B: Villanova defeats Kansas,    98,   140,   112,    86,    87,   138,   127,   139,   144,    74,   176,    71,   103,   105,
Round 4 Game 2A: Oregon defeats Oklahoma,   122,   122,   112,   100,   143,   184,    74,   163,   158,   130,   190,    71,    77,   161,
Round 4 Game 2B: Oklahoma defeats Oregon,   122,   151,    88,   110,   143,   194,   138,   155,   168,   122,   200,    71,   106,   153,
Round 4 Game 3A: North Carolina defeats Notre Dame,   122,   151,   112,   110,   143,   194,   138,   163,   168,   130,   200,    71,   106,   161,
Round 4 Game 3B: Notre Dame defeats North Carolina,   114,   143,   104,   102,   143,   170,   138,   107,   112,   130,   144,    63,   106,   137,
Round 4 Game 4A: Virginia defeats Syracuse,   122,   151,   112,   110,   143,   194,   138,   163,   168,   130,   200,    71,   106,   161,
Round 4 Game 4B: Syracuse defeats Virginia,   122,   151,   112,   110,   143,   194,   138,   163,   168,   130,   192,    71,   106,   161,
