Probability of Winning
,David's Dazzling Bracket,Don's Dribbling Problem,Dunk's SpaceX Bracket,Ellie's Exciting Bracket,One Ball Two Holes,Gregory's Groovy Bracket,JB's Majestic Bracket,My Swag Bracket,Terry's Great Trump Bracket,Jake's Trueskill + MCTS,Amit's Awesome Bracket,My Optimal Bracket,Raj arshi's Swag Bracket,Matt's Bracket,
Round 3 Game 2: Oklahoma defeats Texas A&M,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    7.2800,    0.0000,    0.0000,   28.1800,    0.0000,   64.5400,    0.0000,    0.0000,
Round 3 Game 3: Kansas defeats Maryland,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    5.0200,    0.0000,    0.0000,   18.1000,    0.0000,   76.8800,    0.0000,    0.0000,
Round 3 Game 4: Oregon defeats Duke,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    9.6900,    0.0000,    0.0000,   14.0600,    0.0000,   76.2500,    0.0000,    0.0000,
Round 3 Game 5: Virginia defeats Iowa State,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   10.3200,    0.0000,    0.0000,   12.9500,    0.0000,   76.7300,    0.0000,    0.0000,
Round 3 Game 6: Wisconsin defeats Notre Dame,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    9.6800,    0.0000,    0.0000,   13.0500,    0.0000,   77.2700,    0.0000,    0.0000,
Round 3 Game 7: Syracuse defeats Gonzaga,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    9.6000,    0.0000,    0.0000,   13.7400,    0.0000,   76.6600,    0.0000,    0.0000,
Round 3 Game 8: North Carolina defeats Indiana,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   12.7100,    0.0000,    0.0000,   17.8600,    0.0000,   69.4300,    0.0000,    0.0000,

Best Finish
,David's Dazzling Bracket,Don's Dribbling Problem,Dunk's SpaceX Bracket,Ellie's Exciting Bracket,One Ball Two Holes,Gregory's Groovy Bracket,JB's Majestic Bracket,My Swag Bracket,Terry's Great Trump Bracket,Jake's Trueskill + MCTS,Amit's Awesome Bracket,My Optimal Bracket,Raj arshi's Swag Bracket,Matt's Bracket,
initial   ,     1,     1,     1,     7,     1,     1,     1,     1,     2,     4,     1,    10,     1,     2,
Round 3 Game 1: Villanova defeats Miami (FL),     1,     1,     1,     7,     1,     1,     1,     1,     2,     4,     1,    10,     1,     2,
Round 3 Game 2: Oklahoma defeats Texas A&M,     3,     1,     1,     7,     2,     1,     1,     2,     2,     4,     1,    12,     1,     2,
Round 3 Game 3: Kansas defeats Maryland,     3,     1,     1,     7,     2,     1,     1,     2,     2,     4,     1,    13,     3,     2,
Round 3 Game 4: Oregon defeats Duke,     3,     1,     1,     7,     2,     1,     2,     2,     2,     4,     1,    13,     4,     2,
Round 3 Game 5: Virginia defeats Iowa State,     3,     1,     2,     7,     2,     1,     2,     2,     2,     4,     1,    13,     4,     2,
Round 3 Game 6: Wisconsin defeats Notre Dame,     3,     1,     2,     7,     2,     1,     2,     2,     2,     4,     1,    13,     4,     2,
Round 3 Game 7: Syracuse defeats Gonzaga,     3,     1,     2,     7,     2,     1,     2,     2,     2,     4,     1,    13,     4,     2,
Round 3 Game 8: North Carolina defeats Indiana,     3,     1,     2,     7,     2,     1,     2,     2,     2,     4,     1,    13,     4,     2,

Worst Finish
,David's Dazzling Bracket,Don's Dribbling Problem,Dunk's SpaceX Bracket,Ellie's Exciting Bracket,One Ball Two Holes,Gregory's Groovy Bracket,JB's Majestic Bracket,My Swag Bracket,Terry's Great Trump Bracket,Jake's Trueskill + MCTS,Amit's Awesome Bracket,My Optimal Bracket,Raj arshi's Swag Bracket,Matt's Bracket,
initial   ,     9,     9,    14,    14,    11,     7,    14,    12,    11,    14,     6,    14,    12,    12,
Round 3 Game 1: Villanova defeats Miami (FL),     9,     9,    13,    14,    11,     6,    14,    12,    11,    14,     6,    14,    12,    12,
Round 3 Game 2: Oklahoma defeats Texas A&M,     9,     9,    13,    13,    11,     5,    14,    12,    10,    14,     5,    14,    12,    12,
Round 3 Game 3: Kansas defeats Maryland,     9,     9,    13,    13,    11,     5,    14,    12,    10,    14,     5,    14,    12,    12,
Round 3 Game 4: Oregon defeats Duke,     9,     9,    13,    13,    11,     5,    14,    11,    10,    14,     5,    14,    12,    12,
Round 3 Game 5: Virginia defeats Iowa State,     9,     9,    13,    13,    11,     4,    14,    11,    10,    14,     5,    14,    12,    12,
Round 3 Game 6: Wisconsin defeats Notre Dame,     9,     9,    13,    13,    11,     4,    14,    11,    10,    14,     5,    14,    12,    12,
Round 3 Game 7: Syracuse defeats Gonzaga,     9,     9,    13,    13,    11,     4,    14,    11,    10,    14,     5,    14,    12,    12,
Round 3 Game 8: North Carolina defeats Indiana,     9,     9,    13,    12,    11,     4,    14,    11,     9,    14,     5,    14,    12,    12,

Min Score
,David's Dazzling Bracket,Don's Dribbling Problem,Dunk's SpaceX Bracket,Ellie's Exciting Bracket,One Ball Two Holes,Gregory's Groovy Bracket,JB's Majestic Bracket,My Swag Bracket,Terry's Great Trump Bracket,Jake's Trueskill + MCTS,Amit's Awesome Bracket,My Optimal Bracket,Raj arshi's Swag Bracket,Matt's Bracket,
initial   ,    70,    82,    50,    44,    71,    84,    50,    63,    54,    42,    86,    47,    73,    53,
Round 3 Game 1: Villanova defeats Miami (FL),    74,    86,    54,    48,    75,    88,    54,    63,    58,    46,    86,    47,    73,    57,
Round 3 Game 2: Oklahoma defeats Texas A&M,    74,    90,    58,    52,    75,    92,    58,    63,    62,    50,    90,    47,    77,    57,
Round 3 Game 3: Kansas defeats Maryland,    78,    94,    62,    56,    79,    96,    62,    67,    66,    54,    94,    47,    77,    61,
Round 3 Game 4: Oregon defeats Duke,    82,    98,    66,    60,    79,    96,    62,    71,    70,    58,    94,    51,    77,    65,
Round 3 Game 5: Virginia defeats Iowa State,    86,   102,    66,    64,    83,   100,    66,    71,    74,    62,    98,    55,    77,    69,
Round 3 Game 6: Wisconsin defeats Notre Dame,    86,   102,    66,    64,    83,   100,    66,    71,    74,    62,    98,    55,    77,    69,
Round 3 Game 7: Syracuse defeats Gonzaga,    86,   102,    66,    64,    83,   100,    66,    71,    74,    62,    98,    55,    77,    69,
Round 3 Game 8: North Carolina defeats Indiana,    90,   106,    70,    68,    87,   104,    66,    75,    78,    66,   102,    59,    77,    73,

Max Score
,David's Dazzling Bracket,Don's Dribbling Problem,Dunk's SpaceX Bracket,Ellie's Exciting Bracket,One Ball Two Holes,Gregory's Groovy Bracket,JB's Majestic Bracket,My Swag Bracket,Terry's Great Trump Bracket,Jake's Trueskill + MCTS,Amit's Awesome Bracket,My Optimal Bracket,Raj arshi's Swag Bracket,Matt's Bracket,
initial   ,   140,   151,   112,   110,   161,   202,   146,   185,   168,   130,   206,    71,   137,   167,
Round 3 Game 1: Villanova defeats Miami (FL),   140,   151,   112,   110,   161,   202,   146,   179,   168,   130,   206,    71,   137,   167,
Round 3 Game 2: Oklahoma defeats Texas A&M,   122,   151,   112,   110,   143,   202,   146,   173,   168,   130,   206,    71,   137,   161,
Round 3 Game 3: Kansas defeats Maryland,   122,   151,   112,   110,   143,   202,   146,   173,   168,   130,   206,    71,   114,   161,
Round 3 Game 4: Oregon defeats Duke,   122,   151,   112,   110,   143,   194,   138,   173,   168,   130,   206,    71,   106,   161,
Round 3 Game 5: Virginia defeats Iowa State,   122,   151,   112,   110,   143,   194,   138,   163,   168,   130,   206,    71,   106,   161,
Round 3 Game 6: Wisconsin defeats Notre Dame,   122,   151,   112,   110,   143,   194,   138,   163,   168,   130,   206,    67,   106,   161,
Round 3 Game 7: Syracuse defeats Gonzaga,   122,   151,   112,   110,   143,   194,   138,   163,   168,   130,   200,    67,   106,   161,
Round 3 Game 8: North Carolina defeats Indiana,   122,   151,   112,   110,   143,   194,   138,   163,   168,   130,   200,    67,   106,   161,
