Probability of Winning
,ellie.picks,evan.picks,greg.picks,jasmine.picks,johnny.picks,johnson.picks,julie.picks,miles.picks,mitzi.picks,pia.picks,zeke.picks,
Round 3 Game 6: Wisconsin defeats Notre Dame,     6,     9,     6,     8,    10,     7,     7,    11,    11,     9,     6,
Round 3 Game 7: Syracuse defeats Gonzaga,     6,     9,     6,     8,    10,     7,     7,    11,    11,     9,     6,
Round 3 Game 8: North Carolina defeats Indiana,     6,     9,     6,     8,    10,     7,     7,    11,    11,     9,     6,

Min Score
,ellie.picks,evan.picks,greg.picks,jasmine.picks,johnny.picks,johnson.picks,julie.picks,miles.picks,mitzi.picks,pia.picks,zeke.picks,
initial   ,    40,    43,    43,    39,    44,    46,    38,    31,    43,    37,    42,
Round 3 Game 1: Villanova defeats Miami (FL),    40,    43,    47,    43,    48,    50,    42,    31,    43,    41,    46,
Round 3 Game 2: Oklahoma defeats Texas A&M,    44,    43,    51,    47,    52,    54,    46,    31,    43,    45,    50,
Round 3 Game 3: Kansas defeats Maryland,    48,    47,    55,    51,    56,    58,    50,    31,    47,    49,    54,
Round 3 Game 4: Oregon defeats Duke,    52,    51,    55,    55,    56,    62,    54,    35,    47,    49,    58,
Round 3 Game 5: Virginia defeats Iowa State,    56,    51,    59,    59,    60,    62,    54,    39,    47,    49,    62,
Round 3 Game 6: Wisconsin defeats Notre Dame,    56,    51,    59,    59,    60,    62,    54,    39,    47,    49,    62,
Round 3 Game 7: Syracuse defeats Gonzaga,    56,    51,    59,    59,    60,    62,    54,    39,    47,    49,    62,
Round 3 Game 8: North Carolina defeats Indiana,    60,    55,    63,    63,    64,    66,    58,    43,    47,    53,    66,

Max Score
,ellie.picks,evan.picks,greg.picks,jasmine.picks,johnny.picks,johnson.picks,julie.picks,miles.picks,mitzi.picks,pia.picks,zeke.picks,
initial   ,   156,   103,   155,   103,   156,   106,   130,    63,    91,   129,   138,
Round 3 Game 1: Villanova defeats Miami (FL),   156,    99,   155,   103,   156,   106,   130,    63,    87,   129,   138,
Round 3 Game 2: Oklahoma defeats Texas A&M,   156,    87,   155,   103,   156,   106,   130,    51,    75,   129,   138,
Round 3 Game 3: Kansas defeats Maryland,   156,    87,   155,   103,   156,   106,   130,    51,    75,   129,   138,
Round 3 Game 4: Oregon defeats Duke,   156,    87,   151,   103,   152,   106,   130,    51,    71,   117,   138,
Round 3 Game 5: Virginia defeats Iowa State,   156,    87,   151,   103,   152,   106,   130,    51,    71,   117,   138,
Round 3 Game 6: Wisconsin defeats Notre Dame,   156,    87,   151,   103,   152,   106,   130,    51,    71,   117,   138,
Round 3 Game 7: Syracuse defeats Gonzaga,   156,    87,   151,   103,   152,   106,   130,    51,    71,   117,   138,
Round 3 Game 8: North Carolina defeats Indiana,   156,    87,   151,   103,   152,   106,   130,    51,    71,   117,   138,
