Probability of Winning
,Gregory's Groovy Bracket,JB's Majestic Bracket,Terry's Great Trump Bracket,My Optimal Bracket,Don's Dribbling Problem,Ellie's Exciting Bracket,David's Dazzling Bracket,Jake's Trueskill + MCTS,Dunk's SpaceX Bracket,Raj arshi's Swag Bracket,Amit's Awesome Bracket,Matt's Bracket,One Ball Two Holes,My Swag Bracket,
Round 3 Game 2A: Buffalo defeats Villanova,    0.0000,    1.2800,    0.0000,   90.3500,    0.0000,    0.1600,    0.0000,    5.5600,    0.2800,    0.6100,    0.0000,    0.0000,    0.0100,    0.0500,
Round 3 Game 2B: Villanova defeats Buffalo,    0.0000,    1.5500,    0.0000,   89.4500,    0.0000,    0.2700,    0.0000,    5.7400,    0.3600,    0.6200,    0.0000,    0.0000,    0.0200,    0.0600,
Round 3 Game 3A: Oregon defeats Duke,    0.0000,    1.0000,    0.0000,   89.1800,    0.0000,    0.2500,    0.0000,    6.6800,    0.3500,    0.5000,    0.0000,    0.0000,    0.0200,    0.1400,
Round 3 Game 3B: Duke defeats Oregon,    0.0000,    0.3200,    0.0000,   89.9400,    0.0000,    0.1400,    0.0000,    7.0600,    0.4100,    0.1900,    0.0000,    0.0000,    0.0000,    0.1900,
Round 3 Game 4A: Texas A&M defeats Oklahoma,    0.0000,    1.2100,    0.0000,   90.8900,    0.0000,    0.1300,    0.0000,    5.0500,    0.2800,    0.6000,    0.0000,    0.0000,    0.0000,    0.1100,
Round 3 Game 4B: Oklahoma defeats Texas A&M,    0.0000,    0.8500,    0.0000,   91.4200,    0.0000,    0.0700,    0.0000,    5.4100,    0.1300,    0.4900,    0.0000,    0.0000,    0.0200,    0.0900,
Round 3 Game 5A: North Carolina defeats Indiana,    0.0000,    2.2900,    0.0000,   86.8800,    0.0000,    0.6700,    0.0000,    6.9100,    0.1700,    1.1100,    0.0000,    0.0000,    0.0200,    0.2900,
Round 3 Game 5B: Indiana defeats North Carolina,    0.0000,    0.0700,    0.0000,   94.5300,    0.0000,    0.5800,    0.0000,    2.9200,    0.5300,    0.0000,    0.0000,    0.0000,    0.0000,    0.2100,
Round 3 Game 6A: Stephen F. Austin defeats Xavier,    0.0000,    1.3900,    0.0000,   89.5300,    0.0000,    0.2700,    0.0000,    6.1000,    0.3200,    0.6400,    0.0000,    0.0000,    0.0100,    0.1100,
Round 3 Game 6B: Xavier defeats Stephen F. Austin,    0.0000,    1.3000,    0.0000,   89.9300,    0.0000,    0.2500,    0.0000,    5.6100,    0.3800,    0.6200,    0.0000,    0.0000,    0.0400,    0.0800,
Round 3 Game 7A: Virginia defeats Iowa State,    0.0000,    1.3300,    0.0000,   89.7700,    0.0000,    0.2400,    0.0000,    5.9900,    0.4000,    0.5900,    0.0000,    0.0000,    0.0100,    0.0300,
Round 3 Game 7B: Iowa State defeats Virginia,    0.0000,    1.2300,    0.0000,   91.1400,    0.0000,    0.2700,    0.0000,    5.4100,    0.0200,    0.3900,    0.0000,    0.0000,    0.0200,    0.0100,
Round 3 Game 8A: Utah defeats Syracuse,    0.0000,    1.5600,    0.0000,   89.8300,    0.0000,    0.1700,    0.0000,    5.7100,    0.3800,    0.6100,    0.0000,    0.0000,    0.0200,    0.0500,
Round 3 Game 8B: Syracuse defeats Utah,    0.0000,    1.9000,    0.0000,   89.3100,    0.0000,    0.3100,    0.0000,    5.8200,    0.3100,    0.4800,    0.0000,    0.0000,    0.0300,    0.1000,

Best Finish
,Gregory's Groovy Bracket,JB's Majestic Bracket,Terry's Great Trump Bracket,My Optimal Bracket,Don's Dribbling Problem,Ellie's Exciting Bracket,David's Dazzling Bracket,Jake's Trueskill + MCTS,Dunk's SpaceX Bracket,Raj arshi's Swag Bracket,Amit's Awesome Bracket,Matt's Bracket,One Ball Two Holes,My Swag Bracket,
sweet16.truth,     1,     1,     2,     9,     1,     4,     1,     1,     1,     1,     1,     1,     1,     1,
Round 3 Game 1A: Kansas defeats Maryland,     1,     1,     2,    10,     1,     4,     1,     1,     1,     1,     1,     1,     1,     1,
Round 3 Game 1B: Maryland defeats Kansas,     1,     1,     2,     9,     1,     4,     1,     1,     1,     1,     1,     1,     1,     1,
Round 3 Game 2A: Buffalo defeats Villanova,     1,     1,     2,     9,     1,     4,     1,     1,     1,     1,     1,     1,     1,     1,
Round 3 Game 2B: Villanova defeats Buffalo,     1,     1,     2,     9,     1,     4,     1,     1,     1,     1,     1,     1,     1,     1,
Round 3 Game 3A: Oregon defeats Duke,     1,     1,     2,     9,     1,     4,     1,     1,     1,     1,     1,     1,     1,     1,
Round 3 Game 3B: Duke defeats Oregon,     1,     1,     2,     9,     1,     4,     1,     1,     4,     1,     1,     1,     1,     1,
Round 3 Game 4A: Texas A&M defeats Oklahoma,     1,     1,     2,    10,     1,     4,     1,     1,     1,     1,     1,     1,     1,     1,
Round 3 Game 4B: Oklahoma defeats Texas A&M,     1,     1,     2,    10,     1,     4,     1,     1,     1,     1,     1,     1,     1,     1,
Round 3 Game 5A: North Carolina defeats Indiana,     1,     1,     2,     9,     1,     4,     1,     1,     1,     1,     1,     1,     1,     1,
Round 3 Game 5B: Indiana defeats North Carolina,     1,     1,     5,    10,     1,     4,     1,     1,     1,     1,     1,     1,     1,     1,
Round 3 Game 6A: Stephen F. Austin defeats Xavier,     1,     1,     2,     9,     1,     4,     1,     1,     1,     1,     1,     1,     1,     1,
Round 3 Game 6B: Xavier defeats Stephen F. Austin,     1,     1,     2,     9,     1,     4,     1,     1,     1,     1,     1,     1,     1,     1,
Round 3 Game 7A: Virginia defeats Iowa State,     1,     1,     2,     9,     1,     6,     1,     1,     1,     1,     1,     1,     1,     1,
Round 3 Game 7B: Iowa State defeats Virginia,     1,     1,     2,     9,     1,     4,     1,     1,     1,     1,     1,     1,     1,     1,
Round 3 Game 8A: Utah defeats Syracuse,     1,     1,     2,     9,     1,     4,     1,     1,     1,     1,     1,     1,     1,     1,
Round 3 Game 8B: Syracuse defeats Utah,     1,     1,     2,     9,     1,     4,     1,     1,     1,     1,     1,     1,     1,     1,

Worst Finish
,Gregory's Groovy Bracket,JB's Majestic Bracket,Terry's Great Trump Bracket,My Optimal Bracket,Don's Dribbling Problem,Ellie's Exciting Bracket,David's Dazzling Bracket,Jake's Trueskill + MCTS,Dunk's SpaceX Bracket,Raj arshi's Swag Bracket,Amit's Awesome Bracket,Matt's Bracket,One Ball Two Holes,My Swag Bracket,
sweet16.truth,    11,    14,    13,    14,    10,    14,    10,    14,    14,    14,    10,    13,    14,    14,
Round 3 Game 1A: Kansas defeats Maryland,     9,    14,    13,    14,    10,    14,    11,    14,    14,    14,    11,    13,    14,    14,
Round 3 Game 1B: Maryland defeats Kansas,    10,    14,    13,    14,    10,    14,    11,    14,    14,    14,    11,    13,    14,    14,
Round 3 Game 2A: Buffalo defeats Villanova,    10,    14,    13,    14,    10,    14,    10,    14,    14,    14,    11,    13,    14,    14,
Round 3 Game 2B: Villanova defeats Buffalo,     9,    14,    13,    14,    10,    14,    11,    14,    14,    14,    11,    13,    14,    14,
Round 3 Game 3A: Oregon defeats Duke,    11,    14,    13,    14,    10,    14,    10,    14,    14,    14,    11,    13,    14,    14,
Round 3 Game 3B: Duke defeats Oregon,     8,    14,    13,    14,    10,    14,    10,    14,    14,    14,     9,    13,    13,    14,
Round 3 Game 4A: Texas A&M defeats Oklahoma,    10,    14,    13,    14,    10,    14,    10,    14,    14,    14,    10,    13,    13,    14,
Round 3 Game 4B: Oklahoma defeats Texas A&M,     9,    14,    13,    14,    10,    14,    10,    14,    14,    14,    10,    13,    14,    14,
Round 3 Game 5A: North Carolina defeats Indiana,     9,    14,    13,    14,    10,    14,    11,    14,    14,    14,     9,    13,    14,    14,
Round 3 Game 5B: Indiana defeats North Carolina,    10,    14,    13,    14,    10,    14,    10,    14,    14,    13,    11,    13,    13,    14,
Round 3 Game 6A: Stephen F. Austin defeats Xavier,    11,    14,    13,    14,    10,    14,    11,    14,    14,    14,    11,    13,    14,    14,
Round 3 Game 6B: Xavier defeats Stephen F. Austin,    10,    14,    13,    14,    10,    14,    10,    14,    14,    14,    10,    13,    14,    14,
Round 3 Game 7A: Virginia defeats Iowa State,    10,    14,    12,    14,    10,    14,    10,    14,    14,    14,    11,    13,    14,    14,
Round 3 Game 7B: Iowa State defeats Virginia,    10,    14,    13,    14,    10,    14,    10,    14,    14,    14,    11,    13,    14,    14,
Round 3 Game 8A: Utah defeats Syracuse,    10,    14,    13,    14,    10,    14,    10,    14,    14,    14,    11,    13,    14,    14,
Round 3 Game 8B: Syracuse defeats Utah,    10,    14,    13,    14,    10,    14,    10,    14,    14,    14,    10,    13,    14,    14,

Min Score
,Gregory's Groovy Bracket,JB's Majestic Bracket,Terry's Great Trump Bracket,My Optimal Bracket,Don's Dribbling Problem,Ellie's Exciting Bracket,David's Dazzling Bracket,Jake's Trueskill + MCTS,Dunk's SpaceX Bracket,Raj arshi's Swag Bracket,Amit's Awesome Bracket,Matt's Bracket,One Ball Two Holes,My Swag Bracket,
sweet16.truth,    68,    42,    41,    22,    66,    33,    61,    33,    31,    51,    63,    44,    47,    39,
Round 3 Game 1A: Kansas defeats Maryland,    64,    39,    44,    21,    63,    35,    58,    31,    40,    53,    63,    40,    47,    40,
Round 3 Game 1B: Maryland defeats Kansas,    65,    39,    39,    22,    66,    31,    58,    32,    33,    53,    64,    38,    42,    37,
Round 3 Game 2A: Buffalo defeats Villanova,    65,    40,    44,    22,    63,    37,    61,    33,    39,    50,    62,    44,    45,    40,
Round 3 Game 2B: Villanova defeats Buffalo,    67,    41,    42,    21,    59,    35,    58,    32,    39,    49,    60,    43,    44,    40,
Round 3 Game 3A: Oregon defeats Duke,    67,    39,    42,    22,    63,    35,    63,    29,    37,    55,    64,    44,    47,    38,
Round 3 Game 3B: Duke defeats Oregon,    65,    42,    40,    21,    65,    35,    54,    34,    33,    52,    64,    39,    46,    39,
Round 3 Game 4A: Texas A&M defeats Oklahoma,    65,    38,    46,    18,    67,    37,    52,    35,    39,    53,    66,    37,    44,    40,
Round 3 Game 4B: Oklahoma defeats Texas A&M,    63,    42,    45,    22,    66,    38,    59,    32,    37,    51,    64,    44,    48,    37,
Round 3 Game 5A: North Carolina defeats Indiana,    65,    38,    41,    25,    62,    34,    60,    34,    39,    50,    65,    43,    47,    37,
Round 3 Game 5B: Indiana defeats North Carolina,    65,    40,    38,    21,    65,    30,    56,    31,    35,    53,    64,    41,    46,    40,
Round 3 Game 6A: Stephen F. Austin defeats Xavier,    67,    40,    41,    20,    63,    35,    59,    31,    38,    51,    63,    40,    49,    37,
Round 3 Game 6B: Xavier defeats Stephen F. Austin,    65,    41,    42,    22,    61,    35,    60,    33,    34,    50,    62,    38,    46,    40,
Round 3 Game 7A: Virginia defeats Iowa State,    65,    37,    41,    20,    65,    31,    62,    32,    35,    52,    60,    41,    47,    41,
Round 3 Game 7B: Iowa State defeats Virginia,    66,    40,    45,    22,    65,    37,    59,    35,    37,    53,    65,    42,    48,    39,
Round 3 Game 8A: Utah defeats Syracuse,    64,    40,    42,    22,    61,    35,    57,    29,    35,    53,    62,    42,    46,    40,
Round 3 Game 8B: Syracuse defeats Utah,    64,    37,    42,    20,    62,    32,    61,    33,    36,    52,    66,    43,    47,    39,

Max Score
,Gregory's Groovy Bracket,JB's Majestic Bracket,Terry's Great Trump Bracket,My Optimal Bracket,Don's Dribbling Problem,Ellie's Exciting Bracket,David's Dazzling Bracket,Jake's Trueskill + MCTS,Dunk's SpaceX Bracket,Raj arshi's Swag Bracket,Amit's Awesome Bracket,Matt's Bracket,One Ball Two Holes,My Swag Bracket,
sweet16.truth,   217,   204,   172,    74,   177,   126,   164,   177,   125,   194,   251,   183,   193,   179,
Round 3 Game 1A: Kansas defeats Maryland,   227,   199,   174,    74,   178,   126,   154,   174,   125,   191,   263,   176,   190,   186,
Round 3 Game 1B: Maryland defeats Kansas,   165,   194,   146,    74,   168,    97,   131,   122,   119,   184,   235,   125,   134,   158,
Round 3 Game 2A: Buffalo defeats Villanova,   226,   207,   173,    74,   182,   126,   160,   167,   125,   179,   248,   183,   192,   184,
Round 3 Game 2B: Villanova defeats Buffalo,   221,   193,   173,    74,   176,   126,   162,   170,   128,   180,   254,   179,   196,   178,
Round 3 Game 3A: Oregon defeats Duke,   223,   197,   173,    74,   170,   125,   164,   163,   122,   184,   238,   180,   188,   185,
Round 3 Game 3B: Duke defeats Oregon,   223,   201,   167,    70,   179,   120,   151,   161,    99,   186,   252,   171,   192,   175,
Round 3 Game 4A: Texas A&M defeats Oklahoma,   218,   203,   172,    74,   181,   124,   158,   175,   123,   175,   262,   179,   197,   185,
Round 3 Game 4B: Oklahoma defeats Texas A&M,   225,   195,   173,    74,   179,   125,   143,   157,   124,   173,   248,   175,   179,   178,
Round 3 Game 5A: North Carolina defeats Indiana,   226,   167,   172,    74,   174,   123,   156,   180,   125,   163,   256,   182,   188,   179,
Round 3 Game 5B: Indiana defeats North Carolina,   200,   208,   114,    62,   173,   114,   146,   170,   113,   177,   196,   155,   187,   126,
Round 3 Game 6A: Stephen F. Austin defeats Xavier,   216,   191,   174,    74,   181,   125,   154,   170,   125,   185,   255,   181,   194,   175,
Round 3 Game 6B: Xavier defeats Stephen F. Austin,   220,   203,   172,    74,   185,   126,   157,   176,   128,   173,   226,   183,   197,   180,
Round 3 Game 7A: Virginia defeats Iowa State,   218,   201,   172,    74,   171,   115,   160,   169,   125,   183,   241,   182,   191,   180,
Round 3 Game 7B: Iowa State defeats Virginia,   224,   189,   169,    70,   177,   121,   153,   172,   122,   171,   229,   181,   191,   187,
Round 3 Game 8A: Utah defeats Syracuse,   215,   200,   174,    74,   177,   126,   159,   169,   125,   169,   251,   181,   191,   184,
Round 3 Game 8B: Syracuse defeats Utah,   219,   188,   172,    74,   180,   125,   161,   171,   127,   181,   244,   178,   195,   177,
