Probability of Winning
,Gregory's Groovy Bracket,JB's Majestic Bracket,Terry's Great Trump Bracket,My Optimal Bracket,Don's Dribbling Problem,Ellie's Exciting Bracket,David's Dazzling Bracket,Jake's Trueskill + MCTS,Dunk's SpaceX Bracket,Raj arshi's Swag Bracket,Amit's Awesome Bracket,Matt's Bracket,One Ball Two Holes,My Swag Bracket,
Round 3 Game 5B: Indiana defeats North Carolina,    0.0000,    0.0000,    0.0000,   76.3600,    0.0000,    2.4300,    0.0000,   19.5300,    1.6800,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
Round 3 Game 6A: Notre Dame defeats Wisconsin,    0.0000,   15.7500,    0.0000,   43.6600,    0.0000,    1.1100,    0.0000,   32.9700,    2.5700,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
Round 3 Game 6B: Wisconsin defeats Notre Dame,    0.0000,   10.8400,    0.0000,   61.1000,    0.0000,    0.2000,    0.0000,   24.7900,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
Round 3 Game 7A: Virginia defeats Iowa State,    0.0000,   13.0700,    0.0000,   52.2700,    0.0000,    0.8200,    0.0000,   28.5700,    1.9000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
Round 3 Game 7B: Iowa State defeats Virginia,    0.0000,   12.7200,    0.0000,   54.2800,    0.0000,    0.5500,    0.0000,   28.7700,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
Round 3 Game 8A: Gonzaga defeats Syracuse,    0.0000,   12.8800,    0.0000,   52.8800,    0.0000,    0.8100,    0.0000,   28.6600,    1.2600,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
Round 3 Game 8B: Syracuse defeats Gonzaga,    0.0000,   13.1600,    0.0000,   52.6000,    0.0000,    0.6700,    0.0000,   28.5200,    1.2900,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,

Best Finish
,Gregory's Groovy Bracket,JB's Majestic Bracket,Terry's Great Trump Bracket,My Optimal Bracket,Don's Dribbling Problem,Ellie's Exciting Bracket,David's Dazzling Bracket,Jake's Trueskill + MCTS,Dunk's SpaceX Bracket,Raj arshi's Swag Bracket,Amit's Awesome Bracket,Matt's Bracket,One Ball Two Holes,My Swag Bracket,
sweet16.truth,     1,     1,     2,    10,     1,     7,     1,     4,     1,     1,     1,     2,     1,     1,
Round 3 Game 1A: Kansas defeats Maryland,     1,     1,     2,    10,     1,     7,     1,     4,     1,     2,     1,     2,     1,     1,
Round 3 Game 1B: Maryland defeats Kansas,     1,     1,     2,    10,     1,     8,     1,    11,     2,     1,     1,     4,     2,     1,
Round 3 Game 2A: Miami (FL) defeats Villanova,     1,     1,     2,    10,     1,     8,     1,     5,     4,     1,     1,     2,     1,     1,
Round 3 Game 2B: Villanova defeats Miami (FL),     1,     1,     2,    10,     1,     7,     1,     4,     1,     1,     1,     2,     1,     1,
Round 3 Game 3A: Oregon defeats Duke,     1,     2,     2,    10,     1,     7,     1,     4,     1,     1,     1,     2,     1,     1,
Round 3 Game 3B: Duke defeats Oregon,     1,     1,     3,    10,     1,     7,     2,     5,     7,     1,     1,     2,     2,     2,
Round 3 Game 4A: Texas A&M defeats Oklahoma,     1,     8,     3,    10,     1,     9,     1,     4,     1,     1,     1,     2,     1,     1,
Round 3 Game 4B: Oklahoma defeats Texas A&M,     1,     1,     2,    11,     1,     7,     4,     4,     1,     1,     1,     2,     2,     1,
Round 3 Game 5A: North Carolina defeats Indiana,     1,     1,     2,    10,     1,     7,     1,     4,     1,     1,     1,     2,     1,     1,
Round 3 Game 5B: Indiana defeats North Carolina,     1,     1,     5,    10,     1,     7,     1,     4,     1,     1,     1,     3,     1,     1,
Round 3 Game 6A: Notre Dame defeats Wisconsin,     1,     1,     2,    10,     1,     7,     1,     4,     1,     1,     1,     2,     1,     1,
Round 3 Game 6B: Wisconsin defeats Notre Dame,     1,     1,     2,    10,     1,     7,     1,     4,     1,     1,     1,     2,     1,     1,
Round 3 Game 7A: Virginia defeats Iowa State,     1,     1,     2,    10,     1,     7,     1,     4,     3,     1,     1,     2,     1,     2,
Round 3 Game 7B: Iowa State defeats Virginia,     1,     1,     3,    10,     1,     8,     1,     4,     1,     1,     1,     2,     1,     1,
Round 3 Game 8A: Gonzaga defeats Syracuse,     1,     1,     2,    10,     1,     7,     1,     5,     2,     1,     1,     2,     1,     1,
Round 3 Game 8B: Syracuse defeats Gonzaga,     1,     1,     2,    10,     1,     7,     1,     4,     1,     1,     1,     2,     1,     1,

Worst Finish
,Gregory's Groovy Bracket,JB's Majestic Bracket,Terry's Great Trump Bracket,My Optimal Bracket,Don's Dribbling Problem,Ellie's Exciting Bracket,David's Dazzling Bracket,Jake's Trueskill + MCTS,Dunk's SpaceX Bracket,Raj arshi's Swag Bracket,Amit's Awesome Bracket,Matt's Bracket,One Ball Two Holes,My Swag Bracket,
sweet16.truth,     7,    14,    11,    14,     9,    14,     9,    14,    14,    12,     6,    12,    11,    12,
Round 3 Game 1A: Kansas defeats Maryland,     6,    14,    11,    14,     9,    14,     8,    14,    14,    12,     6,    12,    11,    12,
Round 3 Game 1B: Maryland defeats Kansas,     7,    14,    11,    14,     7,    14,     9,    14,    13,    10,     6,    12,    11,    11,
Round 3 Game 2A: Miami (FL) defeats Villanova,     7,    14,    10,    14,     9,    14,     9,    14,    14,    12,     6,    12,    10,     9,
Round 3 Game 2B: Villanova defeats Miami (FL),     6,    14,    11,    14,     9,    14,     9,    14,    13,    12,     6,    12,    11,    12,
Round 3 Game 3A: Oregon defeats Duke,     7,    14,    10,    14,     9,    14,     9,    14,    14,    12,     6,    12,    11,    11,
Round 3 Game 3B: Duke defeats Oregon,     5,    12,    11,    14,     8,    13,     8,    14,    14,    11,     5,    12,    11,    12,
Round 3 Game 4A: Texas A&M defeats Oklahoma,     7,    14,    11,    14,     9,    14,     8,    14,    14,    12,     6,    10,    10,     8,
Round 3 Game 4B: Oklahoma defeats Texas A&M,     6,    14,    10,    14,     8,    14,     9,    14,    13,    12,     5,    12,    11,    12,
Round 3 Game 5A: North Carolina defeats Indiana,     7,    14,    11,    14,     9,    13,     9,    14,    14,    12,     6,    12,    11,    11,
Round 3 Game 5B: Indiana defeats North Carolina,     7,    13,    11,    14,     8,    14,     8,    14,    14,    11,     6,    12,     9,    12,
Round 3 Game 6A: Notre Dame defeats Wisconsin,     7,    14,    11,    14,     9,    14,     9,    14,    14,    12,     6,    12,    11,    12,
Round 3 Game 6B: Wisconsin defeats Notre Dame,     7,    14,    11,    14,     9,    14,     9,    14,    13,    12,     6,    12,    11,    12,
Round 3 Game 7A: Virginia defeats Iowa State,     6,    14,    11,    14,     9,    14,     9,    14,    14,    12,     5,    12,    11,    12,
Round 3 Game 7B: Iowa State defeats Virginia,     7,    14,    11,    14,     9,    14,     9,    14,    13,    12,     6,    12,    11,     8,
Round 3 Game 8A: Gonzaga defeats Syracuse,     7,    14,    11,    14,     9,    14,     9,    14,    14,    12,     5,    12,    11,    12,
Round 3 Game 8B: Syracuse defeats Gonzaga,     7,    14,    11,    14,     9,    14,     9,    14,    14,    12,     6,    12,    11,    12,

Min Score
,Gregory's Groovy Bracket,JB's Majestic Bracket,Terry's Great Trump Bracket,My Optimal Bracket,Don's Dribbling Problem,Ellie's Exciting Bracket,David's Dazzling Bracket,Jake's Trueskill + MCTS,Dunk's SpaceX Bracket,Raj arshi's Swag Bracket,Amit's Awesome Bracket,Matt's Bracket,One Ball Two Holes,My Swag Bracket,
sweet16.truth,    84,    50,    54,    47,    82,    44,    70,    42,    50,    73,    86,    53,    71,    63,
Round 3 Game 1A: Kansas defeats Maryland,    88,    54,    58,    47,    86,    48,    74,    46,    54,    73,    90,    57,    75,    67,
Round 3 Game 1B: Maryland defeats Kansas,    84,    50,    54,    47,    82,    44,    70,    42,    50,    85,    86,    53,    71,    63,
Round 3 Game 2A: Miami (FL) defeats Villanova,    84,    50,    54,    47,    82,    44,    70,    42,    50,    73,    86,    53,    71,    69,
Round 3 Game 2B: Villanova defeats Miami (FL),    88,    54,    58,    47,    86,    48,    74,    46,    54,    73,    86,    57,    75,    63,
Round 3 Game 3A: Oregon defeats Duke,    84,    50,    58,    51,    86,    48,    74,    46,    54,    73,    86,    57,    71,    67,
Round 3 Game 3B: Duke defeats Oregon,    94,    60,    54,    47,    82,    44,    70,    42,    50,    83,    86,    53,    71,    63,
Round 3 Game 4A: Texas A&M defeats Oklahoma,    84,    50,    54,    47,    82,    44,    76,    42,    50,    73,    86,    59,    77,    69,
Round 3 Game 4B: Oklahoma defeats Texas A&M,    88,    54,    58,    47,    86,    48,    70,    46,    54,    77,    90,    53,    71,    63,
Round 3 Game 5A: North Carolina defeats Indiana,    88,    50,    58,    51,    86,    48,    74,    46,    54,    73,    90,    57,    75,    67,
Round 3 Game 5B: Indiana defeats North Carolina,    84,    50,    54,    47,    82,    44,    70,    42,    50,    73,    86,    53,    71,    63,
Round 3 Game 6A: Notre Dame defeats Wisconsin,    84,    50,    54,    51,    82,    44,    70,    42,    50,    73,    86,    53,    71,    63,
Round 3 Game 6B: Wisconsin defeats Notre Dame,    84,    50,    54,    47,    82,    44,    70,    42,    50,    73,    86,    53,    71,    63,
Round 3 Game 7A: Virginia defeats Iowa State,    88,    54,    58,    51,    86,    48,    74,    46,    50,    73,    90,    57,    75,    63,
Round 3 Game 7B: Iowa State defeats Virginia,    84,    50,    54,    47,    82,    44,    70,    42,    50,    73,    86,    53,    71,    73,
Round 3 Game 8A: Gonzaga defeats Syracuse,    84,    50,    54,    47,    82,    44,    70,    42,    50,    73,    92,    53,    71,    63,
Round 3 Game 8B: Syracuse defeats Gonzaga,    84,    50,    54,    47,    82,    44,    70,    42,    50,    73,    86,    53,    71,    63,

Max Score
,Gregory's Groovy Bracket,JB's Majestic Bracket,Terry's Great Trump Bracket,My Optimal Bracket,Don's Dribbling Problem,Ellie's Exciting Bracket,David's Dazzling Bracket,Jake's Trueskill + MCTS,Dunk's SpaceX Bracket,Raj arshi's Swag Bracket,Amit's Awesome Bracket,Matt's Bracket,One Ball Two Holes,My Swag Bracket,
sweet16.truth,   202,   146,   168,    71,   151,   110,   140,   130,   112,   137,   206,   167,   161,   185,
Round 3 Game 1A: Kansas defeats Maryland,   202,   146,   168,    71,   151,   110,   140,   130,   112,   114,   206,   167,   161,   185,
Round 3 Game 1B: Maryland defeats Kansas,   142,   131,   140,    71,   136,    82,   112,    70,   106,   137,   178,   107,   101,   157,
Round 3 Game 2A: Miami (FL) defeats Villanova,   198,   142,   164,    71,   147,   106,   136,   126,    98,   135,   206,   163,   157,   185,
Round 3 Game 2B: Villanova defeats Miami (FL),   202,   146,   168,    71,   151,   110,   140,   130,   112,   137,   206,   167,   161,   179,
Round 3 Game 3A: Oregon defeats Duke,   194,   138,   168,    71,   151,   110,   140,   130,   112,   129,   206,   167,   161,   185,
Round 3 Game 3B: Duke defeats Oregon,   202,   146,   162,    67,   145,   104,   132,   118,    84,   137,   204,   155,   157,   173,
Round 3 Game 4A: Texas A&M defeats Oklahoma,   190,    80,   154,    71,   118,    96,   140,   126,   108,   109,   192,   167,   161,   185,
Round 3 Game 4B: Oklahoma defeats Texas A&M,   202,   146,   168,    71,   151,   110,   122,   130,   112,   137,   206,   161,   143,   179,
Round 3 Game 5A: North Carolina defeats Indiana,   202,   146,   168,    71,   151,   110,   140,   130,   112,   137,   206,   167,   161,   185,
Round 3 Game 5B: Indiana defeats North Carolina,   174,   146,   108,    59,   139,    98,   128,   126,   100,   137,   146,   139,   157,   125,
Round 3 Game 6A: Notre Dame defeats Wisconsin,   202,   146,   168,    71,   151,   110,   140,   130,   112,   137,   206,   167,   161,   185,
Round 3 Game 6B: Wisconsin defeats Notre Dame,   202,   146,   168,    67,   151,   110,   140,   130,   112,   137,   206,   167,   161,   185,
Round 3 Game 7A: Virginia defeats Iowa State,   202,   146,   168,    71,   151,   110,   140,   130,   112,   137,   206,   167,   161,   175,
Round 3 Game 7B: Iowa State defeats Virginia,   198,   142,   164,    67,   147,   106,   136,   126,   112,   137,   194,   163,   157,   185,
Round 3 Game 8A: Gonzaga defeats Syracuse,   202,   146,   168,    71,   151,   110,   140,   130,   112,   137,   206,   167,   161,   185,
Round 3 Game 8B: Syracuse defeats Gonzaga,   202,   146,   168,    71,   151,   110,   140,   130,   112,   137,   200,   167,   161,   185,
